Category,Brand,Model Name,Specs (RAM/ROM/Display/etc),Price,Offer Price,Stock,Product Image URL,Description,Warranty,EMI Options
,SAMSUNG ,A36,A36 12GB 256GB 5G AWESOME BLACK,41999,35999,8,,,1 Year,Yes
,SAMSUNG ,A36,A36 12GB 256GB 5G AWESOME LAVENDER,41999,35999,8,,,1 Year,Yes
,SAMSUNG ,A56 ,A56 8GB 128GB 5G AWESOME LIGHT GRAY,44999,38999,8,,,1 Year,Yes
,SAMSUNG ,A56 ,A56 8GB 128GB 5G AWESOME GRAPHITE,44999,38999,8,,,1 Year,Yes
,SAMSUNG ,A56 ,A56 8GB 128GB 5G AWESOME OLIVE,44999,38999,8,,,1 Year,Yes
,SAMSUNG ,A56 ,,44999,43999,8,,,1 Year,Yes
,SAMSUNG ,A56 ,A56 8GB 256GB 5G AWESOME LIGHT GRAY,48999,43999,8,https://amzn.in/d/g3ScErJ,,1 Year,Yes
,SAMSUNG ,A56 ,A56 8GB 256GB 5G AWESOME GRAPHITE,48999,43999,8,https://amzn.in/d/g3ScErJ,,1 Year,Yes
,SAMSUNG ,A56 ,A56 8GB 256GB 5G AWESOME OLIVE,48899,43999,8,https://amzn.in/d/g3ScErJ,,1 Year,Yes
,SAMSUNG ,A56 ,A56 12GB 256GB 5G AWESOME LIGHT GRAY,52999,45999,8,https://amzn.in/d/5IEAh2S,,1 Year,Yes
,SAMSUNG ,A56 ,A56 12GB 256GB 5G AWESOME GRAPHITE,52999,45999,8,https://amzn.in/d/5IEAh2S,,1 Year,Yes
,SAMSUNG ,A56 ,A56 12GB 256GB 5G AWESOME OLIVE,52999,45999,8,https://amzn.in/d/5IEAh2S,,1 Year,Yes
,SAMSUNG ,F55,F55 8GB 128GB 5G BLACK,28999,16999,8,https://amzn.in/d/6JmGSSr,,1 Year,Yes
,SAMSUNG ,F55,F55 8GB 128GB 5G ORANGE,28999,16999,8,https://amzn.in/d/6JmGSSr,,1 Year,Yes
,SAMSUNG ,S24FE,S24FE 8GB 128GB 5G BLUE ,59999,39999,8,https://amzn.in/d/hl94zDP,,1 Year,Yes
,SAMSUNG ,S24FE,S24FE 8GB 128GB 5G GRAPHITE,59999,39999,8,https://amzn.in/d/hl94zDP,,1 Year,Yes
,SAMSUNG ,S24FE,S24FE 8GB 128GB 5G MINT,64999,45999,8,https://amzn.in/d/hl94zDP,,1 Year,Yes
,SAMSUNG ,S24FE,S24FE 8GB 256GB 5G BLUE ,64999,45999,8,https://amzn.in/d/excqDe5,,1 Year,Yes
,SAMSUNG ,S24FE,S24FE 8GB 256GB 5G GRAPHITE,64999,45999,8,https://amzn.in/d/excqDe5,,1 Year,Yes
,SAMSUNG ,S24FE,S24FE 8GB 256GB 5G MINT,64999,45999,8,https://amzn.in/d/excqDe5,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 128GB 5G MARBLE GREY,74999,54999,8,https://amzn.in/d/biMKIAZ,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 128GB 5G ONXY BLACK,74999,54999,8,https://amzn.in/d/biMKIAZ,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 128GB 5G YELLOW,74999,54999,8,https://amzn.in/d/biMKIAZ,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 128GB 5G VIOLET,74999,54999,8,https://amzn.in/d/biMKIAZ,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 256GB 5G MARBLE GREY,79999,60999,8,https://amzn.in/d/8LEjiLj,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 256GB 5G ONXY BLACK,79999,60999,8,https://amzn.in/d/8LEjiLj,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 256GB 5G YELLOW,79999,60999,8,https://amzn.in/d/8LEjiLj,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 256GB 5G VIOLET,79999,60999,8,https://amzn.in/d/8LEjiLj,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 512GB 5G MARBLE GREY,84999,69999,8,,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 512GB 5G ONXY BLACK,84999,69999,8,,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 512GB 5G YELLOW,84999,69999,8,,,1 Year,Yes
,SAMSUNG ,S24,S24 8GB 512GB 5G VIOLET,84999,69999,8,,,1 Year,Yes
,SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 256GB 5G TITANIUM GREY,134999,104999,8,https://amzn.in/d/ecCQtLt,,1 Year,Yes
,SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 256GB 5G TITANIUM VIOLET,134999,104999,8,https://amzn.in/d/ecCQtLt,,1 Year,Yes
,SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 256GB 5G TITANIUM BLACK,134999,104999,8,https://amzn.in/d/ecCQtLt,,1 Year,Yes
,SAMSUNG ,S24 ULTRA,S24 ULTRA 12GB 256GB 5G YELLOW,134999,104999,8,https://amzn.in/d/ecCQtLt,,1 Year,Yes
